Tahun_sipsn,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2,Unnamed: 0,Tahun_tpa,P,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahmasuk Landfill (ton/thn),Sampah Organikterolah (ton/thn),Sampah An-Organikterolah (ton/thn),RecoveryPemulung (ton/thn),Energi(MW),Alamat,Kelurahan,Kecamatan,Pengelola,Luas (hektar),Sistem Operasional,Tgl Awal Operasi,Tgl. Akhir Operasi,Luas Landfill Aktif (m2),Pencatatan,Jembatan Timbang,Penutupan Sampah Zona Aktif,Jml Sumur Pantau,IPL,Jml Uji Lindi,Ada Drainase,Pemanfaatan Gas Metana,Jumlah KK yang memanfaatkan gas Metana
2025.0,DKI Jakarta,Kab. Adm. Kep. Seribu,6627.9,693.56,10.46,1721.25,25.97,2414.8,36.43,630.8,1721.25,35.49,P 1,,2025.0,2.0,TPST Bantargebang,TPA Regional,A,4927.51,4927.51,0.0,0.0,0.0,0.0,Jalan Raya Narogong Km. 14 Pangkalan V,"Cikiwul, Ciketing Udik, dan Sumur Batu",Bantargebang,,104.72,Open Dumping,1 Agustus 1989,-,609300,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Tiga atau Empat Bulan Sekali,-,-,-,TIDAK ADA,-,-
2025.0,DKI Jakarta,Kota Adm. Jakarta Barat,807966.6,86.04,0.01,212364.64,26.28,212450.67,26.29,82.68,198793.94,24.61,P 1,,2025.0,2.0,TPST Bantargebang,TPA Regional,A,465769.18,465769.18,0.0,0.0,0.0,0.0,Jalan Raya Narogong Km. 14 Pangkalan V,"Cikiwul, Ciketing Udik, dan Sumur Batu",Bantargebang,,104.72,Open Dumping,1 Agustus 1989,-,-,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Setahun Sekali,-,-,-,TIDAK ADA,-,-
2025.0,DKI Jakarta,Kota Adm. Jakarta Pusat,313203.39,67.13,0.02,63553.36,20.29,63620.49,20.31,67.13,35006.71,11.2,P 1,,2025.0,2.0,TPST Bantar Gebang,TPA Regional,A,218357.6,218357.6,0.0,0.0,0.0,0.0,Jalan Raya Narogong km 14 Pangkalan V,"Ciwikul, Ciketing Udik dan Sumur Batu",Bantar Gebang,Pemda DATI I,104.72,Open Dumping,1 Agustus 1989,-,-,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Setahun Sekali,-,-,-,TIDAK ADA,-,-
2025.0,DKI Jakarta,Kota Adm. Jakarta Selatan,731982.61,41.08,0.01,219920.75,30.04,219961.83,30.05,41.08,206776.73,28.25,P 1,,2025.0,2.0,TPA Bantar Gebang,TPA Regional,A,511874.18,511874.18,0.0,0.0,0.0,0.0,Jl. Raya Narogong Km.14,"Cikiwul, Ciketing",Bantar Gebang,Pemda DATI I,104.72,Open Dumping,1 AGUSTUS 1989,-,609300,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Setahun Sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi serta proses kimia, masih berfungsi baik dan terawat.",109,ADA,Untuk Energi Listrik,-
2025.0,DKI Jakarta,Kota Adm. Jakarta Timur,866562.58,22652.71,2.61,320025.14,36.93,342677.85,39.54,22518.31,320025.14,39.53,P 1,,2025.0,2.0,TPST Bantar gebang,TPA Regional,A,532312.36,532312.36,0.0,0.0,0.0,0.0,Jalan Raya Narogong Km. 14 Pangkalan V,"Cikiwul, Ciketing Udik, dan Sumur Batu",BANTAR GEBANG,,104.72,Open Dumping,1 Agustus 1989,-,-,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Setahun Sekali,-,-,-,TIDAK ADA,-,-
2025.0,DKI Jakarta,Kota Adm. Jakarta Utara,624714.06,65.91,0.01,213222.63,34.13,213288.53,34.14,65.91,213222.63,34.14,P 1,,2025.0,2.0,TPST Bantargebang,TPA Regional,A,412085.0,412085.0,0.0,0.0,0.0,0.0,"Jalan Raya Narogong Km. 14 Pangkalan V  Cikiwul, Ciketing Udik, dan Sumur Batu","Cikiwul, Ciketing Udik, dan Sumur Batu",Bantar Gebang,Pemda DATI I,0,Open Dumping,-,-,-,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Setahun Sekali,-,-,-,TIDAK ADA,-,-
2025.0,Daerah Istimewa Yogyakarta,Kab. Bantul,153853.22,0.0,0.0,56300.91,36.59,56300.91,36.59,0.0,44860.35,29.16,P 1,,2025.0,2.0,TPST Piyungan,TPA Regional,A,5489.23,5489.23,0.0,0.0,0.0,0.0,Ngablak,Sitimulyo,Piyungan,Pemda DATI I,0,Control Landfill,-,-,40000,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Sebulan sekali,6,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi serta proses kimia, masih berfungsi baik dan terawat.",12,ADA,-,-
2025.0,Daerah Istimewa Yogyakarta,Kab. Gunungkidul,144124.84,33.06,0.02,39220.31,27.21,39253.37,27.24,31.09,18033.89,12.53,P 1,,2025.0,2.0,TPA Wukirsari,TPA Pemda (Non Regional),A,21279.5,17045.5,2737.5,1058.5,438.0,0.0,"Wukirsari, Baleharjo, Wonosari, Gunungkidul",Baleharjo,Wonosari,Pemda DATI II,9.1,Control Landfill,-,2021,17600,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",2,ADA,Untuk Bahan Bakar,10
2025.0,Daerah Istimewa Yogyakarta,Kab. Kulon Progo,79262.33,16937.48,21.37,23380.93,29.5,40318.41,50.87,16480.39,12284.93,36.29,P 1,,2025.0,2.0,TPA Banyuroto,TPA Pemda (Non Regional),A,11581.45,9318.45,985.5,292.0,985.5,0.0,"Banyuroto, Nanggulan,Kulon Progo",Banyuroto,Nanggulan,Pemda DATI II,4.29,Control Landfill,1 September 2010,-,5400,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Setiap hari,4,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",-,ADA,Untuk Bahan Bakar,16
2025.0,Daerah Istimewa Yogyakarta,Kab. Sleman,213633.38,1129.49,0.53,43759.83,20.48,44889.31,21.01,1129.49,25042.63,12.25,P 1,,2025.0,2.0,TPA Piyungan (Regional),TPA Regional,A,1688.13,1688.13,0.0,0.0,0.0,0.0,Ngablak,Sitimulyo,Piyungan,Pemda DATI I,12.5,Control Landfill,-,-,40000,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Sebulan sekali,6,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",12,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Daerah Istimewa Yogyakarta,Kota Yogyakarta,109733.6,100.5,0.09,88394.91,80.55,88495.41,80.65,100.5,38862.89,35.51,P 1,,2025.0,2.0,TPST Piyungan (Regional),TPA Regional,A,22808.85,22808.85,0.0,0.0,0.0,0.0,Ngablak,Sitimulyo,Piyungan,Pemda DATI I,12.5,Control Landfill,-,-,100,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Tiga hari sekali atau seminggu dua kali,-,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",-,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Gorontalo,Kab. Bone Bolango,19139.29,514.04,2.69,2235.56,11.68,2749.59,14.37,91.32,2235.56,12.16,P 1,,2025.0,1.0,TPA RIGIONAL TALUMELITO PROVINSI GORONTALO,TPA Regional,A,3058.7,2690.05,0.0,0.0,368.65,0.0,JL. GOR DESA TALUMELITO KECAMATAN TELAGA KABUPATEN GORONTALO,,,Pemda DATI I,0,-,-,-,-,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Setiap hari,-,-,-,TIDAK ADA,-,-
2025.0,Gorontalo,Kota Gorontalo,52327.68,9.98,0.02,32819.97,62.72,32829.95,62.74,0.0,5809.97,11.1,P 1,,2025.0,2.0,TPA TALUMELITO,TPA Regional,A,27192.5,27064.75,36.5,36.5,54.75,0.0,TALUMELITO,TALUMELITO,TELAGA BIRU,,0,Control Landfill,-,-,1.3,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,1,-,-,ADA,-,-
2025.0,Jambi,Kab. Batanghari,46761.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,P 1,,2025.0,2.0,TPA AMD MUARA BULIAN,TPA Pemda (Non Regional),A,10187.15,8306.48,365.0,0.0,1515.67,0.0,Jl.AMD,,,Pemda DATI II,12.42,Open Dumping,16 Oktober 2016,-,13221.86,Manual Book,Ada dan berfungsi dengan baik,Setahun Sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",-,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jambi,Kota Sungai Penuh,18703.15,55.62,0.3,5624.64,30.07,5680.26,30.37,54.75,5624.64,30.37,P 1,,2025.0,1.0,TPST RENAH PADANG TINGGI,,A,12045.0,12041.35,0.0,0.0,3.65,0.0,"Renah Padang Tinggi, Desa Sungai Ning, Kec. Sungai Bungkal, Sungai Penuh, Jambi",,,,0,-,-,-,-,Manual Book,Tidak Ada,Tidak ditutup sama sekali,-,Tidak ada Instalasi Pengolahan Air Lindi (IPAL) di TPA,-,TIDAK ADA,-,-
,Jawa Barat,Kab. Bandung Barat,,,,,,,,,,,,,2025.0,2.0,TPA Regional TPAS Sarimukti,TPA Regional,A,49658.25,45906.05,0.0,0.0,3752.2,0.0,Desa Sarimukti,,,Pemda DATI I,0,Open Dumping,-,-,200000,Manual Book,Ada tapi sedang rusak,Sebulan sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi serta proses kimia, masih berfungsi baik dan terawat.",255,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jawa Barat,Kab. Bekasi,836473.27,0.0,0.0,9171.53,1.1,9171.53,1.1,0.0,9171.53,1.1,P 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.0,Jawa Barat,Kab. Bogor,1037020.3,22051.89,2.13,318660.69,30.73,340712.58,32.85,22051.89,318642.44,32.85,P 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025.0,Jawa Barat,Kab. Ciamis,184884.18,2203.6,1.19,149893.3,81.07,152096.91,82.27,498.04,120620.3,65.51,P 1,,2025.0,2.0,TPA CIMINYAK,TPA Pemda (Non Regional),A,22973.1,22622.7,105.85,244.55,0.0,0.0,Blok Sabuk Dusun Babakan Ciminyak dan Dusun Ciminyak Desa Karyamulya,,,Pemda DATI II,14.12,Sanitary Landfill,13 Januari 2023,-,15000,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Tiga hari sekali atau seminggu dua kali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",4,ADA,Tidak ada. Melepas gas Metana ke udara.,-
2025.0,Jawa Barat,Kab. Ciamis,184884.18,2203.6,1.19,149893.3,81.07,152096.91,82.27,498.04,120620.3,65.51,P 1,,2025.0,2.0,TPA BANJARANYAR,TPA Pemda (Non Regional),A,6570.0,6376.55,102.2,91.25,0.0,0.0,Cigayam rt/rw 024/006,Sindang rasa,Banjaranyar,Pemda DATI II,5,Sanitary Landfill,2015,-,1000,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Tiga hari sekali atau seminggu dua kali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",4,ADA,Untuk Bahan Bakar,-
2025.0,Jawa Barat,Kab. Cianjur,400161.44,3736.29,0.93,9001.71,2.25,12737.99,3.18,3711.69,9001.71,3.18,P 1,,2025.0,1.0,TPST Mekarsari,TPA Pemda (Non Regional),A,83906.2,78204.9,3285.0,1825.0,591.3,0.0,Jl. Sirnarasa-Mekargalih,,,Pemda DATI II,2.7,Open Dumping,01 Maret 2024,-,40000,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Tiga atau Empat Bulan Sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",4,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jawa Barat,Kab. Cirebon,456230.47,0.0,0.0,9050.88,1.98,9050.88,1.98,0.0,9050.88,1.98,P 1,,2025.0,2.0,TPAS Kubangdeleg,TPA Pemda (Non Regional),A,27061.1,27009.63,0.0,0.0,51.47,0.0,Desa Kubangdeleg,,,Pemda DATI II,88,Open Dumping,5 September 2023,-,16700,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Dua minggu sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",-,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jawa Barat,Kab. Cirebon,456230.47,0.0,0.0,9050.88,1.98,9050.88,1.98,0.0,9050.88,1.98,P 1,,2025.0,2.0,TPA Gunungsantri,TPA Pemda (Non Regional),A,92578.6,92004.82,0.0,0.0,573.78,0.0,Jl. Kepuh-Kedongdong,Kepuh,Palimanan,Lainnya,4.2,Open Dumping,1986,2021,22000,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Tidak Ada,Dua minggu sekali,-,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",-,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jawa Barat,Kab. Garut,423450.24,0.0,0.0,57555.97,13.59,57555.97,13.59,0.0,57555.97,13.59,P 1,,2025.0,1.0,TPA Pasirbajing,TPA Pemda (Non Regional),A,90082.0,90082.0,0.0,0.0,0.0,0.0,Kp Pasir Bajing,,,Pemda DATI II,18,Open Dumping,-,-,-,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Sebulan sekali,1,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",-,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jawa Barat,Kab. Indramayu,419174.73,1099.1,0.26,106962.85,25.52,108061.95,25.78,799.35,31839.28,7.79,P 1,,2025.0,2.0,TPA Kertawinangun,TPA Pemda (Non Regional),A,71102.0,70445.0,0.0,0.0,657.0,0.0,Desa Kertawinangun,,,Pemda DATI II,2.8,Control Landfill,2020,-,12600,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,4,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",1,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jawa Barat,Kab. Indramayu,419174.73,1099.1,0.26,106962.85,25.52,108061.95,25.78,799.35,31839.28,7.79,P 1,,2025.0,2.0,TPA Pecuk,TPA Pemda (Non Regional),A,112493.0,106835.5,2372.5,0.0,3285.0,0.0,Jl. Nyi Resik Desa Panyindangan Kulon,,,Pemda DATI II,13.3,Open Dumping,2016,-,24000,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Dua minggu sekali,9,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",-,ADA,Untuk Bahan Bakar,-
2025.0,Jawa Barat,Kab. Kuningan,182181.87,1952.28,1.07,17995.3,9.88,19947.58,10.95,0.0,17995.3,9.88,P 1,,2025.0,1.0,Tempat Pembuangan  Sampah Akhir,TPA Pemda (Non Regional),A,102502.95,86077.95,1825.0,10950.0,3650.0,1.0,Desa Ciniru Kecamatan Jalaksana,,,Pemda DATI II,5.5,Open Dumping,2000,-,4,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Sebulan sekali,1,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",2,ADA,Tidak ada. Gas Metana dibakar.,-
,Jawa Barat,Kab. Subang,,,,,,,,,,,,,2025.0,2.0,TPA Jalupang,TPA Pemda (Non Regional),A,219000.0,215350.0,0.0,0.0,3650.0,0.0,Desa Jalupang,,,Pemda DATI II,14.16,-,-,-,21000,Manual Book,Ada tapi sedang rusak,Tidak ditutup sama sekali,-,-,-,TIDAK ADA,-,-
2025.0,Jawa Barat,Kab. Sumedang,179092.36,10.14,0.01,16963.16,9.47,16973.3,9.48,8.34,16963.16,9.48,P 1,,2025.0,2.0,TPAS Cibeureum,TPA Pemda (Non Regional),A,54202.5,53895.9,0.0,0.0,306.6,0.0,Cibeureum,,,Pemda DATI II,10,Open Dumping,-,-,62500,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Dua minggu sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",1,TIDAK ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jawa Barat,Kota Banjar,31984.66,7439.56,23.26,22656.36,70.84,30095.92,94.09,7439.56,7260.66,45.96,P 1,,2025.0,2.0,TPA Cibeureum,TPA Pemda (Non Regional),A,16111.1,15815.45,98.55,0.0,197.1,0.0,Dusun Babakan,Cibeureum,Banjar,Pemda DATI II,10.3,Control Landfill,2007,-,5000,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tiga hari sekali atau seminggu dua kali,4,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",12,ADA,Tidak ada. Gas Metana dibakar.,-
,Jawa Barat,Kota Bekasi,,,,,,,,,,,,,2025.0,2.0,TPA Sumur Batu,TPA Pemda (Non Regional),A,483822.11,483822.11,0.0,0.0,0.0,0.0,"Jl. Pangkalan II, No. 108",Sumur Batu,Bantar Gebang,Pemda DATI II,22,Open Dumping,-,-,107000,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Setahun Sekali,4,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",4,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jawa Barat,Kota Bogor,275707.63,57517.39,20.86,198249.75,71.91,255767.13,92.77,57304.31,10274.75,24.51,P 1,,2025.0,2.0,TPA Galuga,TPA Pemda (Non Regional),A,185055.0,185055.0,0.0,0.0,0.0,0.0,"Kp.Lalamping, RT 05 / RW 08",Galuga,Cibungbulang,Pemda DATI II,38.7,Control Landfill,Januari 2010,Desember 2030,10500,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Sebulan sekali,1,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi serta proses kimia, masih berfungsi baik dan terawat.",2,ADA,Tidak ada. Gas Metana dibakar.,2
2025.0,Jawa Barat,Kota Cirebon,78969.28,43.51,0.06,8635.29,10.93,8678.8,10.99,2.96,8635.29,10.94,P 1,,2025.0,2.0,TPA Kopi Luhur Kota Cirebon,TPA Pemda (Non Regional),A,63980.06,62468.96,0.0,0.0,1511.1,0.0,Jl. Kopi Luhur,,,Pemda DATI II,142,Open Dumping,-,-,77073,Manual Book,Tidak Ada,Sebulan sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",2,ADA,-,-
,Jawa Barat,Kota Depok,,,,,,,,,,,,,2025.0,2.0,UPT TPA Cipayung,TPA Pemda (Non Regional),A,302950.0,299300.0,0.0,0.0,3650.0,0.0,Bulak Barat No.69 RT 01 RW 07,Cipayung,Cipayung,Pemda DATI II,18.26,Open Dumping,1992,2016,45000,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Setahun Sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",9,ADA,Untuk Bahan Bakar,-
2025.0,Jawa Barat,Kota Tasikmalaya,121962.85,0.0,0.0,20160.14,16.53,20160.14,16.53,0.0,20160.14,16.53,P 1,,2025.0,2.0,TPA Ciangir,TPA Pemda (Non Regional),A,81961.74,81961.74,0.0,0.0,0.0,0.0,Jl. Cikadongdong,Tamansari,Tamansari,Pemda DATI II,6.5,Open Dumping,2002,-,40008,Manual Book,Ada tapi sedang rusak,Tiga atau Empat Bulan Sekali,1,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",12,ADA,-,-
2025.0,Jawa Tengah,Kab. Boyolali,109791.6,394.78,0.36,66625.85,60.68,67020.62,61.04,394.78,22241.85,20.62,P 1,,2025.0,2.0,TPA WINONG,TPA Pemda (Non Regional),A,42778.0,41186.6,182.5,0.0,1408.9,0.0,Dk. Kuncen,Desa Winong,Boyolali,Lainnya,60,Control Landfill,1990,2027,5689,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",12,ADA,Tidak ada. Melepas gas Metana ke udara.,-
,Jawa Tengah,Kab. Brebes,,,,,,,,,,,,,2025.0,2.0,TPA Kalijurang,TPA Pemda (Non Regional),A,29200.0,29017.5,0.0,0.0,182.5,0.0,Desa Kalijurang,Desa Kalijurang,Tonjong,Pemda DATI II,2,Open Dumping,2004,2027,6000,Manual Book,Tidak Ada,Dua minggu sekali,2,Tidak ada Instalasi Pengolahan Air Lindi (IPAL) di TPA,-,ADA,-,-
,Jawa Tengah,Kab. Brebes,,,,,,,,,,,,,2025.0,2.0,TPA Kaliwlingi,TPA Pemda (Non Regional),A,54750.0,47085.0,365.0,0.0,7300.0,0.0,desa Kaliwlingi,desa kaliwlingi,brebes,Pemda DATI II,4,Open Dumping,2005,2026,15000,Manual Book,Ada tapi sedang rusak,Tidak ditutup sama sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",1,ADA,Tidak ada. Melepas gas Metana ke udara.,-
2025.0,Jawa Tengah,Kab. Demak,230903.38,3686.5,1.6,3113.77,1.35,6800.27,2.95,3686.5,3113.77,2.95,P 1,,2025.0,2.0,TPA BERAHAN KULON,TPA Pemda (Non Regional),A,43800.0,35040.0,1095.0,365.0,7300.0,0.0,"Babalan - Prawoto, Area Sawah, Berahan Wetan, Kec. Wedung, Kabupaten Demak, Jawa Tengah",,,Pemda DATI II,25.06,Open Dumping,2021,2035,11000,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Sebulan sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",1,ADA,Tidak ada. Gas Metana dibakar.,-
,Jawa Tengah,Kab. Jepara,,,,,,,,,,,,,2025.0,2.0,TPA Karimunjawa,TPA Pemda (Non Regional),A,803.0,781.15,18.72,3.13,0.0,0.0,Jl. Sunan Nyamplungan RT. 3/4,,,Pemda DATI II,1,Control Landfill,26 maret 2022,2033,848,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",-,ADA,-,-
,Jawa Tengah,Kab. Jepara,,,,,,,,,,,,,2025.0,2.0,TPA Bandengan Jepara,TPA Pemda (Non Regional),A,63108.5,59750.5,1168.0,0.0,2190.0,0.0,Jl. Syaikh Khidhir Al-Limboriy RT 02 RW 3,Bandengan,Jepara,Pemda DATI II,7.29,Control Landfill,1994,2023,11.19,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Tiga hari sekali atau seminggu dua kali,1,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",90,ADA,Tidak ada. Melepas gas Metana ke udara.,-
,Jawa Tengah,Kab. Karanganyar,,,,,,,,,,,,,2025.0,2.0,TPA Sukosari Jumantono,TPA Pemda (Non Regional),A,54750.0,52833.75,0.0,0.0,1916.25,0.0,Desa Sukosari Kecamatan Jumantono,Sukosari,Jumantono,Pemda DATI II,5.6,Control Landfill,-,-,18000,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada dan berfungsi dengan baik,Tujuh hari sekali atau Seminggu Sekali,2,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",1,ADA,Tidak ada. Gas Metana dibakar.,-
2025.0,Jawa Tengah,Kab. Klaten,239352.07,0.0,0.0,126005.61,52.64,126005.61,52.64,0.0,65415.61,27.33,P 1,,2025.0,2.0,2025 TPA KABUPATEN TROKETON,TPA Pemda (Non Regional),A,61320.0,57670.0,3650.0,0.0,0.0,0.0,TROKETON PEDAN,,,Pemda DATI II,9.05,Open Dumping,01-01-2018,01-01-2038,34559,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada dan berfungsi dengan baik,Dua minggu sekali,3,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",1,ADA,Tidak ada. Gas Metana dibakar.,-
