Provinsi,Kabupaten/Kota,rasio_pengelolaan,rasio_pengurangan,rasio_penanganan,recycling_rate,Luas (hektar),Jml Sumur Pantau,utilisasi_tpa,efisiensi_landfill,rasio_recovery_pemulung,rasio_organik_terolah,sampah_per_hektar,proporsi_landfill_aktif,usia_operasi_tpa,skor_penutupan,skor_jembatan,skor_drainase,skor_infrastruktur,Jenis_TPA Pemda (Non Regional),Jenis_TPA Regional,Jenis_nan,Pengelola_Lainnya,Pengelola_Pemda DATI I,Pengelola_Pemda DATI II,Pengelola_Swasta,Pengelola_Tidak Diketahui,Pengelola_nan,Sistem Operasional_Control Landfill,Sistem Operasional_Open Dumping,Sistem Operasional_Sanitary Landfill,Sistem Operasional_Tidak Diketahui,Sistem Operasional_nan,Ada Data SIPSN,Ada Data TPA,P1/P2,Status
DKI Jakarta,Kota Adm. Jakarta Barat,0.2629448791571335,0.00010648955043438678,0.26283838960669914,0.24614460548245434,104.72,,0.5764708343141908,1.0,0.0,0.0,4447.757639419404,,36.0,0.0,2.0,0.0,2.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,P 1,A
DKI Jakarta,Kota Adm. Jakarta Pusat,0.20312835694402923,0.00021433356771776956,0.20291402337631148,0.111984228523197,104.72,,0.6971750848546052,1.0,0.0,0.0,2085.1566080977846,,36.0,0.0,2.0,0.0,2.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,P 1,A
DKI Jakarta,Kota Adm. Jakarta Selatan,0.3005014422405472,5.612155184943533e-05,0.3004453206886978,0.28254470416995286,104.72,2.0,0.699298279777439,1.0,0.0,0.0,4888.0269289534,0.5818372803666921,36.0,0.0,2.0,1.0,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,P 1,A
DKI Jakarta,Kota Adm. Jakarta Timur,0.3954450121767317,0.026140881827599802,0.3693041303491319,0.3952899166266792,104.72,,0.6142803443001197,1.0,0.0,0.0,5083.196715049656,,36.0,0.0,2.0,0.0,2.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,P 1,A
DKI Jakarta,Kota Adm. Jakarta Utara,0.341417864038469,0.00010550426862491296,0.34131235976984414,0.341417864038469,0.0,,0.6596377869260698,1.0,0.0,0.0,,,,0.0,2.0,0.0,2.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,P 1,A
Daerah Istimewa Yogyakarta,Kab. Bantul,0.36593910741679636,0.0,0.36593910741679636,0.2915788827819138,0.0,6.0,0.03567835629309545,1.0,0.0,0.0,,1.0,,1.0,2.0,1.0,4.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,P 1,A
Daerah Istimewa Yogyakarta,Kab. Gunungkidul,0.27235672906904873,0.000229384469741649,0.2721273445993071,0.12534258494233194,9.1,2.0,0.14764630441220264,0.8010291595197255,0.02058319039451115,0.12864493996569468,2338.4065934065934,0.1934065934065934,,3.0,2.0,1.0,6.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Daerah Istimewa Yogyakarta,Kab. Kulon Progo,0.5086705122092676,0.21368889862309118,0.2949816135861764,0.36291287424934393,4.29,4.0,0.14611543718182396,0.8046013236684526,0.08509297195083516,0.08509297195083516,2699.6386946386947,0.1258741258741259,15.0,7.0,2.0,1.0,10.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Daerah Istimewa Yogyakarta,Kab. Sleman,0.2101231558476489,0.005287048306776778,0.20483610754087211,0.12250950670723837,12.5,6.0,0.007901995465315392,1.0,0.0,0.0,135.0504,0.32,,1.0,2.0,1.0,4.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,P 1,A
Daerah Istimewa Yogyakarta,Kota Yogyakarta,0.806456819059978,0.0009158543964656222,0.8055409646635123,0.3550725575393498,12.5,,0.2078565726450239,1.0,0.0,0.0,1824.7079999999999,0.0008,,4.0,2.0,1.0,7.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,P 1,A
Gorontalo,Kab. Bone Bolango,0.14366259145454194,0.02685784059910268,0.11680475085543925,0.12157608772321231,0.0,,0.15981261582848683,0.879474940334129,0.12052505966587113,0.0,,,,7.0,2.0,0.0,9.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,P 1,A
Gorontalo,Kota Gorontalo,0.62739165963406,0.00019072123969570218,0.6272009383943642,0.11103052915779947,0.0,1.0,0.5196580471368117,0.9953020134228188,0.0020134228187919465,0.0013422818791946308,,1.0,,3.0,2.0,1.0,6.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,P 1,A
Jambi,Kab. Batanghari,0.0,0.0,0.0,0.0,12.42,3.0,0.217855551941435,0.8153880133305194,0.14878253486009335,0.03582945180938732,820.2214170692431,0.10645619967793882,9.0,0.0,2.0,1.0,3.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Jambi,Kota Sungai Penuh,0.3037060602091092,0.0029738306114210702,0.3007322295976881,0.30365954398055944,0.0,,0.6440091642316935,0.9996969696969698,0.00030303030303030303,0.0,,,,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,P 1,A
Jawa Barat,Kab. Bandung Barat,,,,,0.0,3.0,,0.9244395442851894,0.07556045571481072,0.0,,1.0,,1.0,1.0,1.0,3.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,,A
Jawa Barat,Kab. Bekasi,0.010964522512476699,0.0,0.010964522512476699,0.010964522512476699,,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,P 1,
Jawa Barat,Kab. Bogor,0.328549576126909,0.021264665696515292,0.3072849104303937,0.3285319776285961,,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,P 1,
Jawa Barat,Kab. Ciamis,0.8226604353060386,0.011918813172657607,0.810741622133381,0.6551038601572076,14.12,2.0,0.1242567103361683,0.9847473784556722,0.0,0.004607562758182396,1626.9900849858357,0.10623229461756374,2.0,4.0,2.0,1.0,7.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,P 1,A
Jawa Barat,Kab. Ciamis,0.8226604353060386,0.011918813172657607,0.810741622133381,0.6551038601572076,5.0,2.0,0.035535760820639174,0.9705555555555556,0.0,0.015555555555555557,1314.0,0.02,10.0,4.0,2.0,1.0,7.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,P 1,A
Jawa Barat,Kab. Cianjur,0.03183215254323355,0.009336956604314498,0.02249519593891905,0.03177067735461967,2.7,3.0,0.20968087279973802,0.9320515051331129,0.007047155037410823,0.039150861318949015,31076.37037037037,1.0,1.0,1.0,2.0,1.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Jawa Barat,Kab. Cirebon,0.019838394397463193,0.0,0.019838394397463193,0.019838394397463193,88.0,2.0,0.05931453898727983,0.9980980078415143,0.001901992158485797,0.0,307.5125,0.018977272727272728,2.0,2.0,2.0,1.0,5.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Jawa Barat,Kab. Cirebon,0.019838394397463193,0.0,0.019838394397463193,0.019838394397463193,4.2,,0.20292068611726002,0.9938022393944173,0.006197760605582715,0.0,22042.52380952381,0.5238095238095238,39.0,2.0,0.0,1.0,3.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,P 1,A
Jawa Barat,Kab. Garut,0.13592144852722246,0.0,0.13592144852722246,0.13592144852722246,18.0,1.0,0.21273337807058512,1.0,0.0,0.0,5004.555555555556,,,1.0,2.0,1.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Jawa Barat,Kab. Indramayu,0.2577969096562668,0.0026220569164558177,0.25517485273981094,0.07786402104916963,2.8,4.0,0.16962377479195848,0.9907597535934292,0.009240246406570842,0.0,25393.57142857143,0.45,5.0,3.0,2.0,1.0,6.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Jawa Barat,Kab. Indramayu,0.2577969096562668,0.0026220569164558177,0.25517485273981094,0.07786402104916963,13.3,9.0,0.2683677997478522,0.9497079818299805,0.029201817001946788,0.02109020116807268,8458.12030075188,0.18045112781954886,9.0,2.0,2.0,1.0,5.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Jawa Barat,Kab. Kuningan,0.10949267344769267,0.010716104736437276,0.09877656871125541,0.09877656871125541,5.5,1.0,0.5626407830812143,0.8397607093259267,0.03560873126090518,0.01780436563045259,18636.899999999998,7.272727272727273e-05,25.0,1.0,2.0,1.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Jawa Barat,Kab. Subang,,,,,14.16,,,0.9833333333333333,0.016666666666666666,0.0,15466.101694915254,0.1483050847457627,,0.0,1.0,0.0,1.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,A
Jawa Barat,Kab. Sumedang,0.09477400375984772,5.661883064135177e-05,0.09471738492920637,0.09476395307985222,10.0,2.0,0.3026511013646814,0.9943434343434344,0.0056565656565656566,0.0,5420.25,0.625,,2.0,2.0,0.0,4.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Jawa Barat,Kota Banjar,0.9409485672194109,0.23259775154714793,0.7083508156722629,0.4596021968030925,10.3,4.0,0.503713342583601,0.9816492976891709,0.012233801540552786,0.006116900770276393,1564.1844660194174,0.04854368932038835,18.0,4.0,2.0,1.0,7.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Jawa Barat,Kota Bekasi,,,,,22.0,4.0,,1.0,0.0,0.0,21991.91409090909,0.4863636363636364,,0.0,2.0,1.0,3.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,A
Jawa Barat,Kota Bogor,0.9276752333622396,0.20861733133754767,0.7190579020246919,0.24511131592549687,38.7,1.0,0.671200140525672,1.0,0.0,0.0,4781.782945736434,0.027131782945736434,15.0,1.0,2.0,1.0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
